CNPJ;Ano;GN;Lead ou Prospecção Pura;Produto;CNPJ;Fantasia;Quantidade de CNPs;FATURAMENTO PRESUMIDO ANUAL;%;Representatividade 12º Mês;Expectativa de Cartões Ativos 12º Mês;Quantidade SOL;Segmento2;Segmento;Taxa a Vista%;Taxa CDC%;Concorrente;Cidade;UF;Data Último Contato;Status Negociação;Status da Oportunidade;URL Enviado?;Data Implantação;Data Abertura GP;Nº GP Mkt;Comentários
10.828.619/0001-42;2025;Anne;Prospecção Pura;4ª Linha;10.828.619/0001-42;Supermercado Tonhao;12;R$ 224.008.957,00;7%;R$ 14.291.771,46;2000;13,18;Supermercado;Supermercado;2,00%;3,20%;Senff;Londrina;PR;03/10/2025;Fechado;Fechado; ; ; ; ;A agenda ficou para o mês de novembro. A reunião será para discutirmos o personalizado novamente e definirmos se vamos seguir com o 4L, que já está fechado, ou com o personalizado.
10.934.866/0001-23;2025;Débora;Prospecção Pura;Personalizado;10.934.866/0001-23;Lojas G; ;R$ 2.450.179,00;7%;R$ 156.321,42;186;0,14;Outros;Artigos em geral; ; ;Não emitem cartão ;Paranavaí;PR;02/05/2025;Qualificação; ; ; ; ; ;Infelizmente, as duas tentativas de reunião não foram bem-sucedidas, pois o Aurélio pediu desculpas por não poder nos atender no horário agendado, devido a problemas que precisou resolver.
43.732.242/0001-82;2025;Maurício;Prospecção Pura;Personalizado;43.732.242/0001-82;Gooroo Credito E Cobranca Ltda;0;R$ 484.000,00;7%;R$ 30.879,20;10000;0,03;Outros;Sociedades De Fomento Mercantil - Factoring; ; ; ;Barueri;SP; ;Fechado; ; ;18/09/2025; ; ;Ponto de controle - lançamento dia 04/09 e lançamento oficila dia 18/09.
03.109.029/0001-02;2025;Murilo;Lead;Personalizado;03.109.029/0001-02;Lojas Leve;23;R$ -    ;7%;R$ 0,00;0;0;Confecções e/ou Calçados;Confecções e Calçados; ; ;Sem operadora;Cascavel;PR; ;Qualificação;Frio; ; ; ; ;Várias tentativas de agendamento com o Financeiro ou com o Proprietário. Eles não dão abertura para agendamento de reuniões. Farei outra tentativa na primeira semana de maio/25
20.463.910/0001-18;2025;Murilo;Lead;Personalizado;20.463.910/0001-18;Seralle;21;R$ 4.000.000,00;7%;R$ 255.200,00;5000;0,24;Confecções e/ou Calçados;Confecções e Calçados; ; ;Sem operadora;Maringá;PR;Finalizado;Implantado;Implantado; ; ; ; ;Implantado  07/03/25
33.168.717/0003-68;2025;Rafael;Prospecção Pura;Personalizado;33.168.717/0003-68;Atacado Rincão;5;R$ 11.672.589,00;7%;R$ 1.260.000,00;1500;1;Supermercado;Supermercado; ; ;Tricard;Bonito;MS;01/set;Qualificação;Frio; ; ; ; ;Buscando agenda - em contato via ligação não consegui contato com o financeiro e nem o decisor
53.074.457/0001-07;2025;Felipe;Prospecção Pura;Personalizado;53.074.457/0001-07;Vanto Fintech S/A;1;R$ 4.000.000,00;7%;R$ 255.200,00;5000;0,24;Outros;Administração de Cartões de Crédtio; ; ; ;Goiania;GO; ;Fechado; ; ; ; ; ; 
78.116.670/0001-65;2025;Rodrigo;Lead;Personalizado;78.116.670/0001-65;Festval ;31;R$ 241.564.048,00;7%;R$ 15.411.786,26;18347;14,21;Supermercado;Supermercado; ; ; ;Cascavel;PR; ;Qualificação; ; ; ; ; ; 
10.495.215/0001-84;2025;Maurício;Lead;Personalizado;10.495.215/0001-84;Supermercado Bahniuk;10;R$ 53.844.768,00;7%;R$ 3.435.296,20;3000;3,17;Supermercado;Supermercado;0,99%;1,75%;Senff;Mallet;PR;03/09/2025;Negociação;Quente; ; ; ; ;Disse que está passando por algumas mudanças internas e quer esperar, novo contato para novembro.
82.573.478/0002-56;2025;Maurício;Lead;Personalizado;82.573.478/0002-56;Grupo Ivasko - CNPJ Matriz 82.573.478/0001-75;10;R$ 39.000.000,00;7%;R$ 2.488.200,00;4000;2,29;Supermercado;Supermercado;0,99%;1,75%;Senff;Irati;PR;15/09/2025;Negociação;Fervendo; ; ; ; ;Vamos tentar uma nova agenda com o Zeka presidente do grupo, com o Silvio, possivelmente dia 23 ou 24/09
07.639.004/0001-63;2025;Murilo;Lead;Personalizado;07.639.004/0001-63;Leve;25;R$ -    ;7%;R$ 0,00;0;0;Confecções e/ou Calçados;Confecções e Calçados; ; ;Sem operadora;Francisco Beltrão;PR; ;Qualificação;Frio; ; ; ; ;Várias tentativas de agendamento com o Financeiro ou com o Proprietário. Eles não dão abertura para agendamento de reuniões. Farei outra tentativa na primeira semana de maio/25
04.793.202/0001-99;2025;Rafael;Prospecção Pura;4ª Linha;04.793.202/0001-99;Atacarejo Casa Barbosa;1;R$ -    ;7%;R$ 0,00; ;0;Supermercado;Supermercado; ; ;Tricard;Bandeirantes;MS;02/04/2025;Sem Interesse; ; ; ; ; ;Lojista Vânio não tem interesse no momento
48.076.228/0001-91;2025;Maurício;Lead;Personalizado;48.076.228/0001-91;Armarinhos Fernando;17;R$ 105.847.229,00;7%;R$ 6.753.053,21;8039;6,23;Outros;Artigos em geral; ; ;DM Card;Sao Paulo;SP; ;Qualificação;Frio; ; ; ; ;Sem contato
80.213.705/0012-89;2025;Maurício;Lead;Personalizado;80.213.705/0012-89;Home Center Dal Pozzo;3;R$ 26.410.777,00;7%;R$ 1.685.007,57;2006;1,55;Supermercado;Supermercado; ; ;Tricard;Guarapuava;PR;17/04/2025;Sem Interesse; ; ; ; ; ;Falei com Ari (proprietário) disse que estão com Tricard e que não possuem interesse de mudar, não quiz nem agendar uma conversa para ouvir nossa proposta.
82.351.636/0001-42;2025;Maurício;Lead;4ª Linha;82.351.636/0001-42;Lojas Ajita;28;R$ -    ;7%;R$ 0,00;0;0;Confecções e/ou Calçados;Confecções e Calçados; ; ;Crediário Próprio / Bonus / Cooper;Maringa;PR;15/08/2025;Negociação; ; ; ; ; ;Apenas a loja de Maringá aceitou, as de Londrina e Foz possuem crediário próprio e não querem mudar.
78.588.431/0007-01;2025;Anne;Prospecção Pura;4ª Linha;78.588.431/0007-01;Supermercado Viscardi;11;R$ -    ;7%;R$ 0,00;0;0;Supermercado;Supermercado;2,00%;3,20%;Sigacred; ;PR; ;Sem Interesse;Frio; ; ; ; ;Sem interesse
03.089.961/0001-02;2025;Anne;Prospecção Pura;4ª Linha;03.089.961/0001-02;Supermercado Molicenter;8;R$ 50.534.029,00;7%;R$ 3.224.071,05;3838;2,97;Supermercado;Supermercado; ; ;Sigacred;Arapongas;PR;14/04/2025;Sem Interesse;Frio; ; ; ; ;Sem interesse
03.644.587/0010-50;2025;Anne;Prospecção Pura;4ª Linha;03.644.587/0010-50;Supermercado Verona;21;R$ -    ;7%;R$ 0,00;0;0;Supermercado;Supermercado; ; ;Sigacred; ;PR; ;Sem Interesse;Frio; ; ; ; ;Sem interesse
77.728.988/0001-34;2025;Anne;Prospecção Pura;Personalizado;77.728.988/0001-34;Supemercado Almeida;10;R$ 101.253.242,00;7%;R$ 6.459.956,84;1200;5,96;Supermercado;Supermercado; ; ;Senff;Cambe;PR;06/10/2025;Qualificação;Frio; ; ; ; ;Enviado proposta via Email, aguardando retorno 
08.861.122/0001-72;2025;Anne;Prospecção Pura;Personalizado;08.861.122/0001-72;Calçados Aracalce;10;R$ -    ;7%;R$ 0,00;0;0;Confecções e/ou Calçados;Confecções e Calçados; ; ;Crediário;Arapongas;PR;09/10/2025;Qualificação;Frio; ; ; ; ;Tentando uma nova agenda para semana do dia 20/10
75.733.147/0001-90;2025;Anne;Prospecção Pura;4ª Linha;75.733.147/0001-90;Supermercado Santarém;5;R$ 30.870.921,00;7%;R$ 1.969.564,76;1000;1,82;Supermercado;Supermercado; ; ;Sigacred;Londrina;PR;14/10/2025;Qualificação;Frio; ; ; ; ;Enviado proposta via Email, aguardando retorno 
16.417.148/0001-66;2025;Débora;Prospecção Pura;4ª Linha;16.417.148/0001-66;Triunfo Supermercados;3;R$ 649.000,00;7%;R$ 41.406,20;49;0,04;Supermercado;Supermercado;2,50%;3,00%;Não emitem cartão ;Paranavaí;PR;29/04/2025;Implantado; ; ; ; ; ;Contrato enviado para assinaturas - Aguardando retorno Dock 
05.764.942/0001-60;2025;Maurício;Lead;Personalizado;05.764.942/0001-60;Molinis Super Center;9;R$ 14.532.834,00;7%;R$ 927.194,81;2000;0,85;Supermercado;Supermercado; ; ;Senff;Jacarezinho;PR;04/09/2025;Negociação;Morno; ; ; ; ;Fiz uma primeira conversa, mas não deu muito abertura, nova agenda para o dia 25/09/25
57.546.715/0003-23;2025;Maurício;Lead;Personalizado;57.546.715/0003-23;Supermercado São Judas;8;R$ 92.508.264,00;7%;R$ 5.902.027,24;3000;5,44;Supermercado;Supermercado; ; ;Senff;Ourinhos;SP;04/09/2025;Negociação;Quente; ; ; ; ;Em julho tive uma reunião presencial onde apresenteio projeto, ele questionou a taxa, disse que possui uma taxa de 05% com a Senff e que para mudar de operadora teria que ter ao menos a mesma taxa.
80.174.840/0001-00;2025;Murilo;Lead;4ª Linha;80.174.840/0001-00;Pra Frente Brasil;10;R$ -    ;7%;R$ 0,00;0;0;Outros;Postos de Combustivel; ; ;Sem operadora; ;PR; ;Qualificação;Frio; ; ; ; ;Proprietário Zini não tem interesse. Disse que não tem funcionários para disponibilizar para a emissão de cartões ou outras atividades além das que já são atribuídas.
04.504.429/0017-34;2025;Murilo;Lead;4ª Linha;04.504.429/0017-34;Impar Skate Shop;2;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções;3,00%;3,50%;Sem operadora; ;PR;09/04/2025;Qualificação;Frio; ; ; ; ;Tentativa de novo agendamento para abril/2025. Visita Presencial para tentativa de novo agendamento para maio/2025.
00.724.652/0001-79;2025;Murilo;Lead;4ª Linha;00.724.652/0001-79;Executive Moda Masculina;2;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções;3,00%;3,50%;Sem operadora; ;PR;19/02/2025;Sem Interesse;Frio; ; ; ; ;Aguardando confirmação de Agendamento para 28/04. Não foi feito o agendamento. A Execcutive faz parte de um grupo de lojas de confeções na região oeste do paraná, incluindo Sarolli, Outlet Usa, entre outras. Os proprietários são de Toledo, mas o financeiro não está agendando reuniões. Nova abordagem indo ao local em maio/25. Por fazer parte de um Grupo de lojjas, a Execcutive não tem poder de decisão sobre emissão de cartões, estes assuntos somente devem ser tratados com o financeiro do grupo.
27.899.033/0001-71;2025;Murilo;Lead;4ª Linha;27.899.033/0001-71;100% Jeans;5;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções;3,00%;3,50%;Sem operadora; ;SP;20/05/2025;Sem Interesse;Frio; ; ; ; ;Tentativa de novo agendamento para abril/2025. Proprietário falou que no momento não vai atuar com cartões, devido estar focado no desenvolvimento de outros projetos pra rede. Pediu para retornar nos próximos 60 dias. Conversei novamente com o Alexandre (proprietário), mas ainda não quer colocar cartão, devido ter outras prioridades e projetos para a loja no momento. 
03.000.370/0001-40;2025;Rafael;Prospecção Pura;4ª Linha;03.000.370/0001-40;Gabi Calçados;7;R$ -    ;7%;R$ 0,00; ;0;Confecções e/ou Calçados;Confecções e Calçados; ; ;Crediario;Dourados;MS;12/05/2025;Qualificação; ; ; ; ; ;Contato apenas com o gerente Renato o mesmo informou para retornar em outro momento pois a principio não tem interesse.
04.757.459/0019-14;2025;Rafael;Prospecção Pura;Personalizado;04.757.459/0019-14;Leve Max Atacado;26;R$ 24.066.828,00;7%;R$ 3.360.000,00;4000;2,7;Supermercado;Supermercado; ; ;NGV card;Dourados;MS;02/09/2025;Negociação;Morno; ; ; ; ;Em contato no dia 14/07 me informou que neste momento não vão dar andamento na negociação.
23.447.289/0001-97;2025;Rafael;Prospecção Pura;4ª Linha;23.447.289/0001-97;Grupo Foz Center;10;R$ -    ;7%;R$ 0,00;300;0;Confecções e/ou Calçados;Confecções e Calçados; ; ;Crediario;Dourados;MS;29/07/2025;Negociação;Morno; ; ; ; ;Apresentei a proposta comercial para o sócio Ailton mas ainda não tive retorno pois, seria apresentado para a sócia Laine.
20.110.845/0001-47;2025;Rafael;Prospecção Pura;4ª Linha;20.110.845/0001-47;Loja Boys Store;2;R$ -    ;7%;R$ 0,00; ;0;Confecções e/ou Calçados;Confecções e Calçados; ; ;Sem operadora;Campo Grande;MS;22/07/2025;Qualificação;Frio; ; ; ; ;Fiz apresentação do projeto para o sócio Raphael e o mesmo informou que neste momento ainda não tem interesse.
01.073.520/0002-78;2025;Rafael;Prospecção Pura;4ª Linha;01.073.520/0002-78;Loja Gênesis;3;R$ -    ;7%;R$ 0,00; ;0;Confecções e/ou Calçados;Confecções e Calçados; ; ;Crediário;Ponta Porã;MS;17/09/2025;Qualificação;Morno; ; ; ; ;Apresentei o projeto para o sócio Genesio, demonstrou interesse porém, vai apresentar para o Lucas sócio para poder marcar uma nova reunião na primeira quinzena de agosto. No dia 06/08 apresentei para o Lucas e vai apresentar para os outros sócios e pediu para retornar na segunda quinzena de Setembro.
18.991.744/0001-80;2025;Rafael;Prospecção Pura;4ª Linha;18.991.744/0001-80;Loja Ki Barato;4;R$ -    ;7%;R$ 0,00; ;0;Confecções;Confecções; ; ;Crediário;Fátima Do Sul;MS;04/08/2025;Sem Interesse;Frio; ; ; ; ;O loja tem crediário próprio mas sem interesse em ouvir uma proposta no momento
01.472.861/0001-35;2025;Rodrigo;Prospecção Pura;Personalizado;01.472.861/0001-35;Supermercado Bavaresco;11;R$ 166.310.410,00;7%;R$ 10.610.604,16;12632;9,78;Supermercado;Supermercado; ; ;Senff;Paranagua;PR;19/05/2025;Negociação;Morno; ; ; ; ;Visita reagendada para o dia 08/10/2025
06.261.771/0001-19;2025;Murilo;Lead;Personalizado;06.261.771/0001-19;Allmayer Supermercado Ltda;6;R$ 456.842.471,00;7%;R$ 29.146.549,65;34698;26,87;Supermercado;Supermercado; ; ;DM;Toledo;PR;27/06/2025;Sem Interesse;Frio; ; ; ; ;Conversado com Morgana, responsável pelo Financeiro. Vai agendar visita presencial para 1ª conversa. 1ª Visita. Conversa inicial com Morgana. Apresentação do GN da Região e forma de atendimento personalizado no dia 30/04. Visita presencial no dia 30/04/25 para me apresentar pessoalmente e melhorar relacionamento com lojista, porém não fui atendido (Morgana - Financeiro). Visita agendada para dia 13/06/2025 - apresentação. Visita reagendada para dia 27/06/25. Conversado com Morgana, Gerente Financeira da rede, apresentado o modelo de negócio da Cooper Bank, ela gostou do modelo de negõcio, mas tem contrato com a DM (OMNI) até 2027, e ela não vai romper o contrato até a data de finalização. Caso haja interesse em mudar (disse que está satisfeita com o processo da DM e tem muito bom atendimento), irá nos procurar para avaliar a proposta. Não quis agendar apresentação personalizada devido deixar bem claro que não irá rescindir o contrato com a DM.
03.663.634/0001-12;2025;Rodrigo;Prospecção Pura;4ª Linha;03.663.634/0001-12;Lojas Laurita ;11;R$ 344.115,00;7%;R$ 21.954,54;26;0,02;Outros;Artigos em geral; ; ; ; ;PR;19/05/2025;Negociação;Frio; ; ; ; ;Visita reagendada para o dia 08/04/2025
02.897.801/0005-50;2025;Rodrigo;Prospecção Pura;4ª Linha;02.897.801/0005-50;Casa China;65;R$ 7.905.260,00;7%;R$ 504.355,59;600;0,47;Outros;Artigos em geral; ; ; ; ;PR;20/05/2025;Sem Interesse; ; ; ; ; ;Eles fecharam com uma empresa, que não me foi informada, um cartão private com um contrato de 10 anos. 
79.863.569/0004-83;2025;Murilo;Lead;4ª Linha;79.863.569/0004-83;Coasul;4;R$ 11.000.924,00;7%;R$ 701.858,95;836;0,65;Supermercado;Supermercado; ; ;Sem operadora; ;PR;07/05/2025;Negociação;Morno; ; ; ; ;Tentativa de Agendamento com o Financeiro para maio/2025
34.678.678/0001-40;2025;Murilo;Lead;4ª Linha;34.678.678/0001-40;Lojas Magrão;4;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções; ; ;Sem operadora; ;PR; ;Negociação;Morno; ; ; ; ; 
15.245.371/0001-00;2025;Murilo;Lead;4ª Linha;15.245.371/0001-00;Lilean Calçados;4;R$ -    ;7%;R$ 0,00;0;0;Confecções e/ou Calçados;Confecções e Calçados; ; ;Senff;Francisco Beltrão;PR;10/07/2025;Negociação;Morno; ; ; ; ;Cliente pediu para aguardar. Ele vai acompanhar o andamento da Serallê para retomar a negociação. Vou Retomar a negociação no dia 20/03/2025. Coversado com Lojista, ele pediu para aguardar mais um pouco, vou entrar em contato com ele no dia 05/05/25 para agendar nova reunião e retomar a negociação. Falado com Leandro (proprietário) sobre retomarmos nossa negociação. Ele vai confirmar data pra agendarmos uma reunião presencial no mês de maio/25. Feita Reunião presencial em 13/05, apresentada a proposta e tiradas as dúvidas. Leandro pediu um prazo para analisar e conversar com o Sergio da Serallê. Feita nova tentativa em 22/05, porém Leandro disse que ainda não havia falado com Sergio, nem decidido sobre os cartões. Nova tentativa em 18/06, e Leandro ainda não tem uma resposta.
81.229.932/0001-02;2025;Murilo;Lead;4ª Linha;81.229.932/0001-02;Supermercado Ubiali;1;R$ 45.062.634,00;7%;R$ 2.874.996,05;3423;2,65;Supermercado;Supermercado; ; ;Bonus Cred;Quedas Do Iguacu;PR; ;Prospecção;Frio; ; ; ; ; 
03.303.808/0001-36;2025;Murilo;Lead;4ª Linha;03.303.808/0001-36;Calcevest Calçados E Confecções;1;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções; ; ;Sem operadora; ;PR;07/04/2025;Prospecção;Frio; ; ; ; ; 
37.780.133/0001-38;2025;Murilo;Lead;4ª Linha;37.780.133/0001-38;Lojas Chapecó;3;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções; ; ;Sem operadora; ;PR;24/02/2025;Prospecção;Frio; ; ; ; ; 
36.567.742/0001-40;2025;Murilo;Lead;4ª Linha;36.567.742/0001-40;Rokeli Modas;2;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções;3,00%;3,50%;Sem operadora; ;PR;20/06/2025;Sem Interesse;Frio; ; ; ; ;Cliente pediu para retornar o contato em maio/2025. Feitas várias tentativas de contato, porém cliente não retornou nem atendeu. Em 20/06 cliente disse que ia aguardar mais um pouco, que ia pensar. Entendo que o cliente não tenha interesse em fazer o cartão.
00.616.446/0001-45;2025;Murilo;Lead;4ª Linha;00.616.446/0001-45;Lojas Buenão;13;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções;2,50%;3,00%;Sem operadora; ;PR;24/02/2025;Sem Interesse;Frio; ; ; ; ;Não tem interesse em inserir cartões, preferem continuar com crediário próprio
06.968.018/0001-68;2025;Rafael;Prospecção Pura;4ª Linha;06.968.018/0001-68;Loja Kill;1;R$ -    ;7%;R$ 0,00; ;0;Confecções;Confecções; ; ;Crediário;São Gabriel;MS;04/08/2025;Qualificação;Morno; ; ; ; ;Sem contato com o lojista Wagner por ligação
10.470.838/0001-00;2025;Rafael;Prospecção Pura;4ª Linha;10.470.838/0001-00;Loja Nice;1;R$ -    ;7%;R$ 0,00; ;0;Confecções;Confecções; ; ;Crediário;Campo Grande;MS;11/07/2025;Qualificação;Morno; ; ; ; ;Buscando agenda - em visita na loja não tive contato com o decisor
02.318.826/0001-29;2025;Rafael;Prospecção Pura;Personalizado;02.318.826/0001-29;Mega Atacado;8;R$ 126.513.001,00;7%;R$ 2.520.000,00;3000;2;Supermercado;Supermercado;0,80%;0,80%;Dm card;Costa Rica;MS;07/07/2025;Negociação;Morno; ; ; ; ;Exclusividade com DM por mais 2 anos
37.470.695/0001-85;2025;Rafael;Prospecção Pura;4ª Linha;37.470.695/0001-85;Lojas Daury;2;R$ -    ;7%;R$ 0,00; ;0;Confecções e/ou Calçados;Confecções e Calçados; ; ;Crediário;Coxim;MS;04/07/2025;Qualificação;Frio; ; ; ; ;Buscando agenda - Visita para agendamento in loco - em visita na loja de Campo Grande pediu para agendar visita em Coxim no escritório
08.220.933/0001-04;2025;Rafael;Prospecção Pura;Personalizado;08.220.933/0001-04;Passos Calçados;12;R$ -    ;7%;R$ 1.260.000,00;1500;1;Confecções e/ou Calçados;Confecções e Calçados; ; ;Crediário;Coxim;MS;22/07/2025;Qualificação;Frio; ; ; ; ;Em contato com Sr Silvanio o mesmo informa que estão satisfeito com o crediário próprio
43.886.744/0001-68;2025;Rafael;Prospecção Pura;Personalizado;43.886.744/0001-68;Mega Feirão Calçados;10;R$ -    ;7%;R$ 1.260.000,00;1500;1;Confecções e/ou Calçados;Confecções e Calçados; ; ;Crediário;Dourados;MS;19/02/2025;Qualificação;Frio; ; ; ; ;Exclusividade de 5 anos com a Dm card
18.634.265/0006-11;2025;Rafael;Prospecção Pura;Personalizado;18.634.265/0006-11;Pé Legal Calçados;12;R$ -    ;7%;R$ 1.260.000,00;1500;1;Confecções e/ou Calçados;Confecções e Calçados; ; ;Crediário;Sidrolândia;MS;07/07/2025;Sem Interesse;Frio; ; ; ; ;Assessora Lilian informou que no momento estão satisfeitos com o crediário próprio
09.131.286/0001-19;2025;Rafael;Prospecção Pura;Personalizado;09.131.286/0001-19;Rede Econômica;46;R$ -    ;7%;R$ 4.200.000,00;5000;3,33;Supermercado;Supermercado; ; ;Dm card;Campo Grande;MS;27/06/2025;Sem Interesse;Frio; ; ; ; ;Neste momento a rede não vai avançar com a negociação pois tem uma empresa administrando o cartão e não tem interesse no momento.
07.752.517/0001-86;2025;Rafael;Prospecção Pura;4ª Linha;07.752.517/0001-86;Planeta Esportes;5;R$ -    ;7%;R$ 0,00; ;0;Confecções e/ou Calçados;Confecções e Calçados; ; ;Crediário;Campo Grande;MS;08/09/2025;Qualificação;Frio; ; ; ; ;Sem contato com o Régis Sócio - Ligar semanalmente para agendar reunião
07.028.514/0006-09;2025;Rafael;Prospecção Pura;4ª Linha;07.028.514/0006-09;Supermercado Central;5;R$ -    ;7%;R$ 0,00; ;0;Supermercado;Supermercado; ; ;Tricard;Paranaíba;MS;04/08/2025;Qualificação;Frio; ; ; ; ;Buscando agenda - Pois liguei e falei com o financeiro para tentar uma reunião mas ainda não tive retorno
03.514.174/0001-60;2025;Rafael;Prospecção Pura;4ª Linha;03.514.174/0001-60;Supermercado Estrela;1;R$ 28.819.350,00;7%;R$ 1.838.674,53; ;1,7;Supermercado;Supermercado; ; ;Tricard;Maracaju;MS;18/09/2025;Qualificação;Frio; ; ; ; ;Falei com o Sócio valnei e pediu para agendar uma outra data para apresentação.
13.297.014/0002-41;2025;Rafael;Prospecção Pura;4ª Linha;13.297.014/0002-41;Supermercado Guaicurus;1;R$ 4.739.406,00;7%;R$ 302.374,10; ;0,28;Supermercado;Supermercado; ; ;Tricard;Campo Grande;MS;22/09/2025;Qualificação;Morno; ; ; ; ;Em contato com o Fernando o mesmo vai dar continuidade apenas no segundo semestre. Voltei o contato em estou tentando reunião para o dia 26/09.
